station_id,USAF,WBAN,state,latitude,longitude,avg_wind_speed_ms,ICAO,ICAO_CLEAN,has_icao,NAME,BEGIN,END
72202192816,722021,92816,FL,28.014,-82.345,1.5992535487027448,KVDF,KVDF,True,,20050101,20250826
72202212803,722022,12803,FL,26.378,-80.108,4.475549009105734,KBCT,KBCT,True,,20060101,20250825
72202412882,722024,12882,FL,25.91,-80.283,3.785437324256223,KOPF,KOPF,True,,20060101,20250827
72202612826,722026,12826,FL,25.483,-80.383,3.1293871417836105,KHST,KHST,True,,19430201,20250825
72202912888,722029,12888,FL,25.642,-80.435,3.5590474404651085,KTMB,KTMB,True,,20060101,20250827
72203012844,722030,12844,FL,26.685,-80.099,4.146499323243257,KPBI,KPBI,True,,19430206,20250827
72203412812,722034,12812,FL,26.918,-81.994,3.3675121424715297,KPGD,KPGD,True,,20060101,20250827
72203792809,722037,92809,FL,26.0,-80.241,3.616834574390325,KHWO,KHWO,True,,20060101,20250827
72203812897,722038,12897,FL,26.155,-81.775,3.4547119312577856,KAPF,KAPF,True,,19990101,20250827
72203912885,722039,12885,FL,26.199,-80.178,3.6643553954674166,KFXE,KFXE,True,,20060101,20250827
72204012838,722040,12838,FL,28.1,-80.636,3.920916747204025,KMLB,KMLB,True,,19741113,20250827
72204612898,722046,12898,FL,28.517,-80.8,3.5258793251360028,KTIX,KTIX,True,,20060101,20250825
72204992805,722049,92805,FL,26.246,-80.111,4.669061728394729,KPMP,KPMP,True,,20060101,20250827
72205012815,722050,12815,FL,28.418,-81.324,3.3678057343473298,KMCO,KMCO,True,,19520507,20250825
72205312841,722053,12841,FL,28.547,-81.335,3.3029170857880907,KORL,KORL,True,,19900208,20250827
72205512861,722055,12861,FL,29.167,-82.233,2.385353018564688,KOCF,KOCF,True,,20060101,20250826
72205712854,722057,12854,FL,28.78,-81.244,3.349247249565612,KSFB,KSFB,True,,19730101,20250827
72206013889,722060,13889,FL,30.495,-81.694,2.9468815943726456,KJAX,KJAX,True,,19480101,20250827
72206593837,722065,93837,FL,30.233,-81.667,3.837386861313664,KNIP,KNIP,True,,19730101,20250827
72206603853,722066,03853,FL,30.4,-81.417,3.964777793757873,KNRB,KNRB,True,,19730101,20250827
72206763823,722067,63823,FL,30.219,-81.876,1.9396890520406536,KVQQ,KVQQ,True,,20060101,20250826
72206953853,722069,53853,FL,30.393,-86.467,2.7554406758289582,KDTS,KDTS,True,,20060101,20250827
72210312895,722103,12895,FL,27.498,-80.376,3.1045589026357625,KFPR,KFPR,True,,20060101,20250827
72210492806,722104,92806,FL,27.768,-82.626,3.893149155853025,KSPG,KSPG,True,,19860101,20250827
72210612835,722106,12835,FL,26.585,-81.861,3.24987330451627,KFMY,KFMY,True,,19430101,20250826
72210812894,722108,12894,FL,26.538,-81.757,3.0844815490388,KRSW,KRSW,True,,20060101,20250827
72211012842,722110,12842,FL,27.963,-82.54,2.984763212079386,KTPA,KTPA,True,,19400801,20250827
72211512871,722115,12871,FL,27.401,-82.559,3.697960324112697,KSRQ,KSRQ,True,,20060101,20250827
72211612873,722116,12873,FL,27.913,-82.686,3.553095711445455,KPIE,KPIE,True,,20060101,20250827
72211800482,722118,00482,FL,27.072,-82.44,4.076985743381082,KVNC,KVNC,True,,20110203,20250825
72211912883,722119,12883,FL,28.0,-82.05,2.743959918352362,KLAL,KLAL,True,,20060101,20250825
72212012833,722120,12833,FL,29.633,-83.105,2.1036523055570755,KCTY,KCTY,True,,19431219,20250812
72212312809,722123,12809,FL,27.95,-81.783,2.849687430229348,KBOW,KBOW,True,,20050101,20250825
72214093805,722140,93805,FL,30.394,-84.351,2.50498653742586,KTLH,KTLH,True,,19420501,20250827
72218992815,722189,92815,FL,27.182,-80.221,3.1534512554638163,KSUA,KSUA,True,,20060101,20250825
72220012832,722200,12832,FL,29.727,-85.025,3.3384962571551906,KAAF,KAAF,True,,19450101,20250827
72221013858,722210,13858,FL,30.483,-86.517,3.485481818181395,KVPS,KVPS,True,,19380910,20250825
72221292814,722212,92814,FL,29.959,-81.34,3.691445898499753,KSGJ,KSGJ,True,,20060101,20250826
72221312819,722213,12819,FL,28.821,-81.81,2.83853489979264,KLEE,KLEE,True,,20060101,20250827
72221513884,722215,13884,FL,30.777,-86.519,1.8065797564876236,KCEW,KCEW,True,,19730101,20250827
72222313899,722223,13899,FL,30.476,-87.186,3.700344695518745,KPNS,KPNS,True,,19900228,20250827
72222503855,722225,03855,FL,30.35,-87.317,3.2782012654413726,KNPA,KNPA,True,,19450201,20250825
72222693841,722226,93841,FL,30.717,-87.017,2.315015641293141,KNSE,KNSE,True,,19730101,20250826
72224603844,722246,03844,FL,30.65,-86.533,2.83602420761086,KEGI,KEGI,True,,19490908,20250825
72226100360,722261,00360,FL,27.267,-80.85,2.275411488074924,KOBE,KOBE,True,,20070116,20250825
72234192822,722341,92822,FL,29.296,-81.113,3.6789507772022314,KOMN,KOMN,True,,20060101,20250825
72236192808,722361,92808,FL,29.054,-80.948,4.176787648970952,KEVB,KEVB,True,,20060101,20250825
72473700377,724737,00377,FL,28.817,-82.317,1.4467555875990294,KINF,KINF,True,,20090812,20250826
74756012816,747560,12816,FL,29.692,-82.276,2.574269570011072,KGNV,KGNV,True,,20050101,20250827
74775013846,747750,13846,FL,30.067,-85.583,3.661545138888752,KPAM,KPAM,True,,19420319,20250825
74776003818,747760,03818,FL,30.837,-85.184,2.7563641245971957,KMAI,KMAI,True,,19970602,20250827
74777003852,747770,03852,FL,30.417,-86.683,3.51325315273212,KHRT,KHRT,True,,19550705,20250825
74782053860,747820,53860,FL,30.337,-81.513,3.1198452558706697,KCRG,KCRG,True,,20050101,20250827
74783012849,747830,12849,FL,26.079,-80.162,4.1615577889446005,KFLL,KFLL,True,,20050101,20250827
74787012834,747870,12834,FL,29.174,-81.072,2.9382929819185097,KDAB,KDAB,True,,20050101,20250827
74788012810,747880,12810,FL,27.85,-82.517,3.227200704225168,KMCF,KMCF,True,,19410501,20250825
74793012843,747930,12843,FL,27.655,-80.414,3.6530376497431942,KVRB,KVRB,True,,20100801,20250827
74793112876,747931,12876,FL,28.061,-81.757,3.240606896551592,KGIF,KGIF,True,,20050101,20250827
74794012868,747940,12868,FL,28.483,-80.567,3.734903047091224,KXMR,KXMR,True,,19500801,20250825
74794612886,747946,12886,FL,28.617,-80.683,3.1938886674636917,KTTS,KTTS,True,,20060101,20250825
74795012867,747950,12867,FL,28.233,-80.6,4.243823529411564,KCOF,KCOF,True,,19450301,20250825
74796099999,747960,99999,FL,27.65,-81.33,2.486715566422136,KAGR,KAGR,True,,20180515,20250824
74904599999,749045,99999,FL,27.456,-81.342,3.046631613538707,KSEF,KSEF,True,,19420401,20250824
74904800415,749048,00415,FL,29.845,-82.048,2.7768387096768965,K42J,K42J,True,,20110312,20250826
99404599999,994045,99999,FL,29.73,-84.98,3.020738738738887,,,False,,20080313,20250824
99404799999,994047,99999,FL,30.4,-87.22,2.3448269646720914,,,False,,20080101,20250824
99495199999,994951,99999,FL,27.862,-80.445,4.562677991506486,,,False,,20130401,20250824
99734699999,997346,99999,FL,26.65,-81.87,2.698916184971273,,,False,,20080101,20250824
99734799999,997347,99999,FL,30.67,-81.47,2.5577221120924283,,,False,,20080101,20250824
99734899999,997348,99999,FL,24.55,-81.8,4.113387387387318,,,False,,20080101,20250824
99735299999,997352,99999,FL,30.22,-85.88,4.406773554314436,,,False,,20080101,20250824
99735499999,997354,99999,FL,28.42,-80.58,3.4862137322040447,,,False,,20080101,20250824
