year,month,state,capacity_factor
1996,7,MI,0.022401
1996,7,MN,0.025116
1996,7,MO,0.02533
1996,7,MS,0.007921
1996,7,MT,0.050446
1996,7,NC,0.030687
1996,7,ND,0.057766
1996,7,NE,0.037123
1996,7,NH,0.07062
1996,7,NJ,0.033539
1996,7,NM,0.039721
1996,7,NV,0.035779
1996,7,NY,0.039975
1996,7,OH,0.031148
1996,7,OK,0.046532
1996,7,OR,0.030737
1996,7,PA,0.024422
1996,7,RI,0.067712
1996,7,SC,0.030703
1996,7,SD,0.046518
1996,7,TN,0.017514
1996,7,TX,0.049461
1996,7,UT,0.029444
1996,7,VA,0.022762
1996,7,VT,0.02233
1996,7,WA,0.027776
1996,7,WI,0.025814
1996,7,WV,0.008454
1996,7,WY,0.041508
1996,8,AL,0.005519
1996,8,AR,0.007563
1996,8,AZ,0.036464
1996,8,CA,0.034001
1996,8,CO,0.035617
1996,8,CT,0.007536
1996,8,DE,0.008675
1996,8,FL,0.018714
1996,8,GA,0.008988
1996,8,IA,0.013467
1996,8,ID,0.033347
1996,8,IL,0.020836
1996,8,IN,0.012773
1996,8,KS,0.048196
1996,8,KY,0.003763
1996,8,LA,0.010669
1996,8,MA,0.018996
1996,8,MD,0.004054
1996,8,ME,0.009231
1996,8,MI,0.018522
1996,8,MN,0.024273
1996,8,MO,0.015574
1996,8,MS,0.004057
1996,8,MT,0.057544
1996,8,NC,0.007251
1996,8,ND,0.06466
1996,8,NE,0.038906
1996,8,NH,0.046873
1996,8,NJ,0.009424
1996,8,NM,0.033589
1996,8,NV,0.033938
1996,8,NY,0.014537
1996,8,OH,0.010111
1996,8,OK,0.040648
1996,8,OR,0.024505
1996,8,PA,0.005756
1996,8,RI,0.036617
1996,8,SC,0.007769
1996,8,SD,0.049575
1996,8,TN,0.004187
1996,8,TX,0.045377
1996,8,UT,0.030843
1996,8,VA,0.006409
1996,8,VT,0.007093
1996,8,WA,0.031102
1996,8,WI,0.021708
1996,8,WV,0.002145
1996,8,WY,0.041644
1996,9,AL,0.009252
1996,9,AR,0.012106
1996,9,AZ,0.026261
1996,9,CA,0.033328
1996,9,CO,0.041717
1996,9,CT,0.025648
1996,9,DE,0.035955
1996,9,FL,0.019103
1996,9,GA,0.012064
1996,9,IA,0.020913
1996,9,ID,0.0392
1996,9,IL,0.029751
1996,9,IN,0.024732
1996,9,KS,0.055595
1996,9,KY,0.009839
1996,9,LA,0.01504
1996,9,MA,0.052525
1996,9,MD,0.023779
1996,9,ME,0.030206
1996,9,MI,0.030741
1996,9,MN,0.026962
1996,9,MO,0.01905
1996,9,MS,0.008178
1996,9,MT,0.060955
1996,9,NC,0.03653
1996,9,ND,0.080678
1996,9,NE,0.064411
1996,9,NH,0.064245
1996,9,NJ,0.026434
1996,9,NM,0.037162
1996,9,NV,0.032018
1996,9,NY,0.035927
1996,9,OH,0.039873
1996,9,OK,0.040342
1996,9,OR,0.017692
1996,9,PA,0.022699
1996,9,RI,0.066043
1996,9,SC,0.023063
1996,9,SD,0.068131
1996,9,TN,0.011626
1996,9,TX,0.035317
1996,9,UT,0.032093
1996,9,VA,0.026768
1996,9,VT,0.015987
1996,9,WA,0.018408
1996,9,WI,0.031567
1996,9,WV,0.011495
1996,9,WY,0.054011
1996,10,AL,0.018488
1996,10,AR,0.023547
1996,10,AZ,0.034046
1996,10,CA,0.043733
1996,10,CO,0.053694
1996,10,CT,0.035456
1996,10,DE,0.038181
1996,10,FL,0.043974
1996,10,GA,0.022833
1996,10,IA,0.091162
1996,10,ID,0.045099
1996,10,IL,0.066088
1996,10,IN,0.055654
1996,10,KS,0.123543
1996,10,KY,0.020602
1996,10,LA,0.036822
1996,10,MA,0.059666
1996,10,MD,0.020439
1996,10,ME,0.053847
1996,10,MI,0.057126
1996,10,MN,0.096912
1996,10,MO,0.062102
1996,10,MS,0.013088
1996,10,MT,0.089338
1996,10,NC,0.030924
1996,10,ND,0.138119
1996,10,NE,0.119151
1996,10,NH,0.082943
1996,10,NJ,0.042766
1996,10,NM,0.069234
1996,10,NV,0.03605
1996,10,NY,0.058368
1996,10,OH,0.059479
1996,10,OK,0.101008
1996,10,OR,0.024567
1996,10,PA,0.031757
1996,10,RI,0.069063
1996,10,SC,0.022821
1996,10,SD,0.115324
1996,10,TN,0.018731
1996,10,TX,0.058613
1996,10,UT,0.034242
1996,10,VA,0.028115
1996,10,VT,0.029966
1996,10,WA,0.028773
1996,10,WI,0.071309
1996,10,WV,0.013854
1996,10,WY,0.069565
1996,11,AL,0.025641
1996,11,AR,0.03037
1996,11,AZ,0.027169
1996,11,CA,0.036892
1996,11,CO,0.035003
1996,11,CT,0.031484
1996,11,DE,0.04261
1996,11,FL,0.06287
1996,11,GA,0.026311
1996,11,IA,0.067815
1996,11,ID,0.040887
1996,11,IL,0.056523
1996,11,IN,0.041393
