date,region,actual,predicted
2008-10-05,TX,0.101762,0.05270517745118948
2008-10-06,TX,0.058737,0.037854189094002975
2008-10-07,TX,0.041662,0.04584738089037399
2008-10-08,TX,0.009082,0.02171219878937419
2008-10-09,TX,0.020886,0.03827255753896888
2008-10-10,TX,0.03668,0.04119084689249632
2008-10-11,TX,0.046687,0.04103687160048185
2008-10-12,TX,0.089897,0.05716411387208542
2008-10-13,TX,0.049271,0.028083341960420796
2008-10-14,TX,0.036209,0.033500919289705285
2008-10-15,TX,0.020801,0.03175652109006641
2008-10-16,TX,0.032667,0.03614475829025529
2008-10-17,TX,0.010596,0.022394180414718315
2008-10-18,TX,0.011593,0.025586650564376322
2008-10-19,TX,0.01309,0.02604058323154938
2008-10-20,TX,0.008166,0.02476631997440321
2008-10-21,TX,0.012793,0.026890991483560375
2008-10-22,TX,0.093107,0.07125677800054384
2008-10-23,TX,0.068085,0.04669250797378162
2008-10-24,TX,0.007115,0.023875427288363317
2008-10-25,TX,0.005748,0.027178573742005392
2008-10-26,TX,0.025378,0.04419289319694754
