year,season,state,capacity_factor,day_count
2003,summer,RI,0.015022456521739133,92
2003,winter,RI,0.05933416666666666,90
2003,fall,SC,0.011998582417582416,91
2003,spring,SC,0.017598358695652173,92
2003,summer,SC,0.009620315217391304,92
2003,winter,SC,0.02520253333333333,90
2003,fall,SD,0.09659030769230768,91
2003,spring,SD,0.11654227173913044,92
2003,summer,SD,0.07339196739130435,92
2003,winter,SD,0.10475764444444445,90
2003,fall,TN,0.014079802197802194,91
2003,spring,TN,0.02526894565217391,92
2003,summer,TN,0.008195152173913044,92
2003,winter,TN,0.027662544444444447,90
2003,fall,TX,0.04024741758241758,91
2003,spring,TX,0.07283053260869565,92
2003,summer,TX,0.03821384782608696,92
2003,winter,TX,0.06389131111111111,90
2003,fall,UT,0.032513692307692306,91
2003,spring,UT,0.05929783695652174,92
2003,summer,UT,0.04137316304347826,92
2003,winter,UT,0.029799466666666666,90
2003,fall,VA,0.034845681318681314,91
2003,spring,VA,0.03359072826086956,92
2003,summer,VA,0.013407489130434783,92
2003,winter,VA,0.04053637777777778,90
2003,fall,VT,0.021365021978021974,91
2003,spring,VT,0.021753402173913045,92
2003,summer,VT,0.008178891304347825,92
2003,winter,VT,0.02369971111111111,90
2003,fall,WA,0.03683546153846153,91
2003,spring,WA,0.037666097826086944,92
2003,summer,WA,0.03083748913043478,92
2003,winter,WA,0.020616555555555555,90
2003,fall,WI,0.030637901098901098,91
2003,spring,WI,0.04798448913043478,92
2003,summer,WI,0.015420130434782608,92
2003,winter,WI,0.041401744444444444,90
2003,fall,WV,0.017392373626373626,91
2003,spring,WV,0.018620663043478262,92
2003,summer,WV,0.005397065217391305,92
2003,winter,WV,0.026505288888888884,90
2003,fall,WY,0.07115231868131869,91
2003,spring,WY,0.09586245652173912,92
2003,summer,WY,0.05023996739130436,92
2003,winter,WY,0.08206292222222221,90
2004,fall,AL,0.019271758241758242,91
2004,spring,AL,0.02087383695652174,92
2004,summer,AL,0.006038978260869565,92
2004,winter,AL,0.022300967032967033,91
2004,fall,AR,0.01572696703296703,91
2004,spring,AR,0.029387434782608697,92
2004,summer,AR,0.008730402173913044,92
2004,winter,AR,0.026831054945054944,91
2004,fall,AZ,0.029589340659340657,91
2004,spring,AZ,0.04533501086956522,92
2004,summer,AZ,0.03527740217391305,92
2004,winter,AZ,0.02236069230769231,91
2004,fall,CA,0.028455824175824176,91
2004,spring,CA,0.04481165217391306,92
2004,summer,CA,0.038463815217391305,92
2004,winter,CA,0.0348286043956044,91
2004,fall,CO,0.05635216483516484,91
2004,spring,CO,0.09251982608695652,92
2004,summer,CO,0.05804305434782609,92
2004,winter,CO,0.05041803296703297,91
2004,fall,CT,0.031840670329670334,91
2004,spring,CT,0.03948393478260869,92
2004,summer,CT,0.021077478260869566,92
2004,winter,CT,0.05142728571428571,91
2004,fall,DE,0.03968697802197802,91
2004,spring,DE,0.06820144565217393,92
2004,summer,DE,0.02787078260869565,92
2004,winter,DE,0.08197764835164836,91
2004,fall,FL,0.05288081318681318,91
2004,spring,FL,0.04369439130434783,92
2004,summer,FL,0.019478239130434786,92
2004,winter,FL,0.03463424175824175,91
2004,fall,GA,0.0349272967032967,91
2004,spring,GA,0.015710369565217392,92
2004,summer,GA,0.009751902173913042,92
2004,winter,GA,0.022999021978021977,91
2004,fall,IA,0.04615331868131869,91
2004,spring,IA,0.10777607608695652,92
2004,summer,IA,0.023222152173913043,92
2004,winter,IA,0.08352140659340661,91
2004,fall,ID,0.0235948021978022,91
2004,spring,ID,0.05106188043478261,92
2004,summer,ID,0.025729271739130435,92
2004,winter,ID,0.04243916483516483,91
2004,fall,IL,0.02796331868131868,91
2004,spring,IL,0.06420635869565218,92
2004,summer,IL,0.013285326086956525,92
2004,winter,IL,0.052809879120879116,91
2004,fall,IN,0.033035999999999996,91
2004,spring,IN,0.0818593043478261,92
2004,summer,IN,0.019408565217391302,92
2004,winter,IN,0.06802282417582417,91
2004,fall,KS,0.07314880219780219,91
2004,spring,KS,0.12157917391304347,92
2004,summer,KS,0.05412376086956522,92
2004,winter,KS,0.07435632967032968,91
2004,fall,KY,0.01450913186813187,91
2004,spring,KY,0.028842336956521743,92
2004,summer,KY,0.009277336956521737,92
2004,winter,KY,0.0337782967032967,91
2004,fall,LA,0.023891978021978025,91
2004,spring,LA,0.02578434782608696,92
2004,summer,LA,0.011222630434782608,92
2004,winter,LA,0.028770626373626373,91
2004,fall,MA,0.03228132967032967,91
2004,spring,MA,0.051585826086956534,92
2004,summer,MA,0.019002945652173912,92
2004,winter,MA,0.061237999999999994,91
2004,fall,MD,0.022661714285714285,91
2004,spring,MD,0.042438445652173924,92
2004,summer,MD,0.014413456521739131,92
2004,winter,MD,0.051444505494505494,91
2004,fall,ME,0.02064352747252747,91
2004,spring,ME,0.03157392391304348,92
2004,summer,ME,0.010951576086956523,92
2004,winter,ME,0.03870612087912088,91
2004,fall,MI,0.036453769230769234,91
2004,spring,MI,0.056463206521739126,92
2004,summer,MI,0.021672347826086957,92
2004,winter,MI,0.057394648351648356,91
2004,fall,MN,0.04604256043956045,91
2004,spring,MN,0.0762051956521739,92
2004,summer,MN,0.02798325,92
2004,winter,MN,0.062459923076923086,91
2004,fall,MO,0.028206428571428573,91
2004,spring,MO,0.0702736304347826,92
2004,summer,MO,0.02133047826086957,92
2004,winter,MO,0.05165569230769231,91
2004,fall,MS,0.01666531868131868,91
2004,spring,MS,0.020601043478260864,92
2004,summer,MS,0.010123989130434784,92
2004,winter,MS,0.019236934065934068,91
2004,fall,MT,0.0565524945054945,91
2004,spring,MT,0.09236579347826086,92
2004,summer,MT,0.04921021739130436,92
2004,winter,MT,0.09046608791208792,91
2004,fall,NC,0.014159956043956045,91
2004,spring,NC,0.02474022826086956,92
2004,summer,NC,0.008631391304347827,92
2004,winter,NC,0.03030671428571429,91
2004,fall,ND,0.07048515384615384,91
2004,spring,ND,0.1499154891304348,92
2004,summer,ND,0.06254367391304348,92
2004,winter,ND,0.11333472527472528,91
2004,fall,NE,0.06328270329670328,91
2004,spring,NE,0.09548809782608698,92
2004,summer,NE,0.0367585,92
2004,winter,NE,0.05965740659340659,91
2004,fall,NH,0.00931221978021978,91
2004,spring,NH,0.017857891304347822,92
2004,summer,NH,0.004849271739130434,92
2004,winter,NH,0.020365032967032966,91
2004,fall,NJ,0.02128297802197802,91
2004,spring,NJ,0.03657632608695652,92
2004,summer,NJ,0.011530489130434784,92
2004,winter,NJ,0.047700241758241765,91
2004,fall,NM,0.05760616483516484,91
2004,spring,NM,0.09018996739130436,92
2004,summer,NM,0.053614293478260876,92
2004,winter,NM,0.06337845054945056,91
2004,fall,NV,0.04111437362637362,91
2004,spring,NV,0.05608015217391305,92
2004,summer,NV,0.04487126086956522,92
2004,winter,NV,0.03901382417582419,91
2004,fall,NY,0.03453681318681319,91
2004,spring,NY,0.05200255434782609,92
2004,summer,NY,0.01937569565217391,92
2004,winter,NY,0.07404794505494507,91
2004,fall,OH,0.03311196703296703,91
2004,spring,OH,0.06352152173913042,92
2004,summer,OH,0.01978746739130435,92
2004,winter,OH,0.07258999999999999,91
2004,fall,OK,0.03360376923076922,91
2004,spring,OK,0.07743863043478261,92
2004,summer,OK,0.028611826086956522,92
2004,winter,OK,0.05754149450549452,91
2004,fall,OR,0.019318219780219782,91
2004,spring,OR,0.030797576086956525,92
2004,summer,OR,0.024026880434782606,92
2004,winter,OR,0.03334684615384615,91
2004,fall,PA,0.02018323076923077,91
2004,spring,PA,0.035456815217391295,92
2004,summer,PA,0.009056989130434784,92
2004,winter,PA,0.05032137362637363,91
2004,fall,RI,0.02873852747252748,91
2004,spring,RI,0.04097332608695652,92
2004,summer,RI,0.016428,92
2004,winter,RI,0.04591461538461539,91
2004,fall,SC,0.01668897802197802,91
2004,spring,SC,0.020743510869565215,92
2004,summer,SC,0.010898010869565216,92
2004,winter,SC,0.02319693406593407,91
2004,fall,SD,0.08808001098901097,91
2004,spring,SD,0.14472296739130436,92
2004,summer,SD,0.0635153152173913,92
2004,winter,SD,0.1042603846153846,91
2004,fall,TN,0.014312021978021975,91
2004,spring,TN,0.024694576086956525,92
2004,summer,TN,0.007082826086956521,92
2004,winter,TN,0.025037626373626377,91
2004,fall,TX,0.03708937362637363,91
2004,spring,TX,0.06953622826086957,92
2004,summer,TX,0.038327586956521734,92
2004,winter,TX,0.05418865934065935,91
2004,fall,UT,0.04295842857142857,91
2004,spring,UT,0.05692980434782609,92
2004,summer,UT,0.05249131521739131,92
2004,winter,UT,0.030614219780219783,91
2004,fall,VA,0.017174329670329672,91
2004,spring,VA,0.03612001086956521,92
2004,summer,VA,0.011121717391304348,92
2004,winter,VA,0.03724654945054945,91
2004,fall,VT,0.016107604395604394,91
2004,spring,VT,0.026519445652173915,92
2004,summer,VT,0.008427304347826087,92
2004,winter,VT,0.025872340659340663,91
2004,fall,WA,0.020095472527472527,91
2004,spring,WA,0.03795982608695653,92
2004,summer,WA,0.029137445652173913,92
2004,winter,WA,0.020151582417582414,91
2004,fall,WI,0.02810517582417582,91
2004,spring,WI,0.05190057608695652,92
2004,summer,WI,0.017629434782608696,92
2004,winter,WI,0.040970109890109886,91
2004,fall,WV,0.009505307692307693,91
2004,spring,WV,0.017447760869565218,92
2004,summer,WV,0.004472945652173914,92
2004,winter,WV,0.026429967032967034,91
2004,fall,WY,0.05412801098901099,91
2004,spring,WY,0.10032725,92
2004,summer,WY,0.05874698913043478,92
2004,winter,WY,0.0772603956043956,91
2005,fall,AL,0.012979505494505498,91
2005,spring,AL,0.021413402173913042,92
2005,summer,AL,0.014094282608695656,92
2005,winter,AL,0.019594933333333335,90
2005,fall,AR,0.020694318681318682,91
2005,spring,AR,0.026337521739130433,92
2005,summer,AR,0.008991271739130434,92
2005,winter,AR,0.0236354,90
2005,fall,AZ,0.022398956043956048,91
2005,spring,AZ,0.04507621739130435,92
2005,summer,AZ,0.03062732608695653,92
2005,winter,AZ,0.01857557777777778,90
2005,fall,CA,0.023357505494505493,91
2005,spring,CA,0.03929946739130435,92
2005,summer,CA,0.0304180652173913,92
2005,winter,CA,0.025962944444444445,90
2005,fall,CO,0.06702449450549451,91
2005,spring,CO,0.08001927173913043,92
2005,summer,CO,0.052770717391304345,92
2005,winter,CO,0.05646556666666668,90
2005,fall,CT,0.03515203296703297,91
2005,spring,CT,0.048213315217391306,92
2005,summer,CT,0.012249369565217393,92
2005,winter,CT,0.03660806666666667,90
2005,fall,DE,0.04977547252747253,91
2005,spring,DE,0.06556899999999999,92
2005,summer,DE,0.020005108695652172,92
2005,winter,DE,0.061618688888888884,90
2005,fall,FL,0.03556857142857143,91
2005,spring,FL,0.03714996739130435,92
2005,summer,FL,0.028255489130434786,92
2005,winter,FL,0.032209155555555556,90
2005,fall,GA,0.009927604395604396,91
2005,spring,GA,0.018307934782608698,92
2005,summer,GA,0.0066210652173913035,92
2005,winter,GA,0.013828988888888886,90
2005,fall,IA,0.056462263736263736,91
2005,spring,IA,0.08288949999999999,92
2005,summer,IA,0.025611771739130432,92
2005,winter,IA,0.04860124444444445,90
2005,fall,ID,0.023456527472527473,91
2005,spring,ID,0.04013428260869565,92
2005,summer,ID,0.025085108695652173,92
2005,winter,ID,0.02363522222222222,90
2005,fall,IL,0.03972574725274725,91
2005,spring,IL,0.0545718152173913,92
2005,summer,IL,0.012902999999999998,92
2005,winter,IL,0.036400744444444445,90
2005,fall,IN,0.04318623076923077,91
2005,spring,IN,0.05933789130434783,92
2005,summer,IN,0.017780336956521738,92
2005,winter,IN,0.041309088888888894,90
2005,fall,KS,0.08647117582417582,91
2005,spring,KS,0.10654876086956523,92
2005,summer,KS,0.06255313043478263,92
2005,winter,KS,0.053929277777777784,90
2005,fall,KY,0.014432406593406595,91
2005,spring,KY,0.02160286956521739,92
2005,summer,KY,0.008458739130434783,92
2005,winter,KY,0.022104400000000003,90
2005,fall,LA,0.02100625274725275,91
2005,spring,LA,0.023202000000000004,92
2005,summer,LA,0.011795271739130433,92
2005,winter,LA,0.021234322222222223,90
2005,fall,MA,0.04236362637362637,91
2005,spring,MA,0.04920441304347826,92
2005,summer,MA,0.01633794565217391,92
2005,winter,MA,0.04333497777777778,90
2005,fall,MD,0.02932148351648351,91
2005,spring,MD,0.04126647826086957,92
2005,summer,MD,0.011725869565217392,92
2005,winter,MD,0.036395388888888894,90
2005,fall,ME,0.021091934065934063,91
2005,spring,ME,0.03646591304347826,92
2005,summer,ME,0.009532326086956523,92
2005,winter,ME,0.029337744444444445,90
2005,fall,MI,0.0424590989010989,91
2005,spring,MI,0.03434732608695652,92
2005,summer,MI,0.015850239130434783,92
2005,winter,MI,0.03154651111111111,90
2005,fall,MN,0.059023087912087914,91
2005,spring,MN,0.06581369565217392,92
2005,summer,MN,0.03144034782608695,92
2005,winter,MN,0.042316011111111114,90
2005,fall,MO,0.033326494505494506,91
2005,spring,MO,0.05354155434782608,92
2005,summer,MO,0.017734641304347827,92
2005,winter,MO,0.033782811111111116,90
2005,fall,MS,0.02039223076923077,91
2005,spring,MS,0.024345315217391302,92
2005,summer,MS,0.016453652173913043,92
2005,winter,MS,0.02243892222222222,90
2005,fall,MT,0.0679873846153846,91
2005,spring,MT,0.08794466304347826,92
2005,summer,MT,0.050342510869565225,92
2005,winter,MT,0.0819149,90
2005,fall,NC,0.016463857142857145,91
2005,spring,NC,0.03169933695652174,92
2005,summer,NC,0.0056942717391304356,92
2005,winter,NC,0.02081964444444444,90
2005,fall,ND,0.08855772527472527,91
2005,spring,ND,0.12405666304347827,92
2005,summer,ND,0.06383502173913044,92
