date,region,capacity_factor
1995-04-06,CA,0.044056
1995-04-06,FL,0.038966
1995-04-06,MN,0.035476
1995-04-06,TX,0.016699
1995-04-07,CA,0.091466
1995-04-07,FL,0.02153
1995-04-07,MN,0.015292
1995-04-07,TX,0.053018
1995-04-08,CA,0.104747
1995-04-08,FL,0.015583
1995-04-08,MN,0.029285
1995-04-08,TX,0.116182
1995-04-09,CA,0.157619
1995-04-09,FL,0.010822
1995-04-09,MN,0.113097
1995-04-09,TX,0.172652
1995-04-10,CA,0.080863
1995-04-10,FL,0.026451
1995-04-10,MN,0.114633
1995-04-10,TX,0.188427
1995-04-11,CA,0.033065
1995-04-11,FL,0.103166
1995-04-11,MN,0.083643
1995-04-11,TX,0.140292
1995-04-12,CA,0.035367
1995-04-12,FL,0.072232
1995-04-12,MN,0.072969
1995-04-12,TX,0.023017
1995-04-13,CA,0.082487
1995-04-13,FL,0.019754
1995-04-13,MN,0.051281
1995-04-13,TX,0.031657
1995-04-14,CA,0.098405
1995-04-14,FL,0.03288
1995-04-14,MN,0.144646
1995-04-14,TX,0.115817
1995-04-15,CA,0.080919
1995-04-15,FL,0.014007
1995-04-15,MN,0.278232
1995-04-15,TX,0.092021
1995-04-16,CA,0.059183
1995-04-16,FL,0.01632
1995-04-16,MN,0.037613
1995-04-16,TX,0.10286
1995-04-17,CA,0.067361
1995-04-17,FL,0.014674
1995-04-17,MN,0.005407
1995-04-17,TX,0.180529
1995-04-18,CA,0.108583
1995-04-18,FL,0.023398
1995-04-18,MN,0.16261
1995-04-18,TX,0.115942
1995-04-19,CA,0.11949
1995-04-19,FL,0.01907
1995-04-19,MN,0.053469
1995-04-19,TX,0.103132
1995-04-20,CA,0.118047
1995-04-20,FL,0.039483
1995-04-20,MN,0.03259
1995-04-20,TX,0.093963
1995-04-21,CA,0.107092
1995-04-21,FL,0.039441
1995-04-21,MN,0.068669
1995-04-21,TX,0.061403
1995-04-22,CA,0.032222
1995-04-22,FL,0.020908
1995-04-22,MN,0.039055
1995-04-22,TX,0.119579
1995-04-23,CA,0.030871
1995-04-23,FL,0.047461
1995-04-23,MN,0.025499
1995-04-23,TX,0.172855
1995-04-24,CA,0.020448
1995-04-24,FL,0.050329
1995-04-24,MN,0.032087
1995-04-24,TX,0.039025
1995-04-25,CA,0.052012
1995-04-25,FL,0.028822
1995-04-25,MN,0.010727
1995-04-25,TX,0.053823
1995-04-26,CA,0.051597
1995-04-26,FL,0.032635
1995-04-26,MN,0.048098
1995-04-26,TX,0.139918
1995-04-27,CA,0.062731
1995-04-27,FL,0.011317
1995-04-27,MN,0.020909
1995-04-27,TX,0.076066
1995-04-28,CA,0.058664
1995-04-28,FL,0.016438
1995-04-28,MN,0.002414
1995-04-28,TX,0.060331
1995-04-29,CA,0.095972
1995-04-29,FL,0.014357
1995-04-29,MN,0.010525
1995-04-29,TX,0.121359
1995-04-30,CA,0.045867
1995-04-30,FL,0.012061
1995-04-30,MN,0.01011
1995-04-30,TX,0.084993
1995-05-01,CA,0.076209
1995-05-01,FL,0.016792
1995-05-01,MN,0.007534
1995-05-01,TX,0.135514
1995-05-02,CA,0.068087
1995-05-02,FL,0.034207
1995-05-02,MN,0.004063
1995-05-02,TX,0.074677
1995-05-03,CA,0.039511
1995-05-03,FL,0.012002
1995-05-03,MN,0.010735
1995-05-03,TX,0.086297
1995-05-04,CA,0.075302
1995-05-04,FL,0.020504
1995-05-04,MN,0.010724
1995-05-04,TX,0.046458
1995-05-05,CA,0.181816
1995-05-05,FL,0.022593
1995-05-05,MN,0.014359
1995-05-05,TX,0.07812
1995-05-06,CA,0.087903
1995-05-06,FL,0.016501
1995-05-06,MN,0.017356
1995-05-06,TX,0.120757
1995-05-07,CA,0.050179
1995-05-07,FL,0.016703
1995-05-07,MN,0.054974
1995-05-07,TX,0.220174
1995-05-08,CA,0.039056
1995-05-08,FL,0.028375
1995-05-08,MN,0.169857
1995-05-08,TX,0.206626
1995-05-09,CA,0.02993
1995-05-09,FL,0.0556
1995-05-09,MN,0.137374
1995-05-09,TX,0.059478
1995-05-10,CA,0.04226
1995-05-10,FL,0.063423
1995-05-10,MN,0.055414
1995-05-10,TX,0.045154
1995-05-11,CA,0.094254
1995-05-11,FL,0.047522
1995-05-11,MN,0.0152
1995-05-11,TX,0.047162
1995-05-12,CA,0.123498
1995-05-12,FL,0.036457
1995-05-12,MN,0.05691
1995-05-12,TX,0.085606
1995-05-13,CA,0.109278
1995-05-13,FL,0.019406
1995-05-13,MN,0.076677
1995-05-13,TX,0.118659
1995-05-14,CA,0.034297
1995-05-14,FL,0.014777
1995-05-14,MN,0.179835
1995-05-14,TX,0.062717
1995-05-15,CA,0.027509
1995-05-15,FL,0.018951
1995-05-15,MN,0.045653
1995-05-15,TX,0.065798
1995-05-16,CA,0.047816
1995-05-16,FL,0.018225
1995-05-16,MN,0.121103
1995-05-16,TX,0.133887
1995-05-17,CA,0.053236
1995-05-17,FL,0.026937
1995-05-17,MN,0.061948
1995-05-17,TX,0.214163
1995-05-18,CA,0.030111
1995-05-18,FL,0.036797
1995-05-18,MN,0.008135
1995-05-18,TX,0.100065
1995-05-19,CA,0.020374
1995-05-19,FL,0.067972
1995-05-19,MN,0.03312
1995-05-19,TX,0.037045
1995-05-20,CA,0.02975
1995-05-20,FL,0.05663
1995-05-20,MN,0.224019
1995-05-20,TX,0.036894
1995-05-21,CA,0.044616
1995-05-21,FL,0.012907
1995-05-21,MN,0.033335
1995-05-21,TX,0.051747
1995-05-22,CA,0.069406
1995-05-22,FL,0.030255
1995-05-22,MN,0.0933
1995-05-22,TX,0.08039
1995-05-23,CA,0.068497
1995-05-23,FL,0.034291
1995-05-23,MN,0.067853
1995-05-23,TX,0.147415
1995-05-24,CA,0.060586
1995-05-24,FL,0.038893
1995-05-24,MN,0.007398
1995-05-24,TX,0.110051
1995-05-25,CA,0.047074
1995-05-25,FL,0.018762
1995-05-25,MN,0.002834
1995-05-25,TX,0.06501
1995-05-26,CA,0.049181
1995-05-26,FL,0.011909
